Date,Address,Postcode,Price,Type,Ownership,NewBuild
2014-02-28,"31 St Pauls Street, Ramsbottom",BL0 9BW,85000,Terraced,"Leasehold",No
2014-02-28,"6 Cleveland Close, Ramsbottom",BL0 9FH,225000,Detached,"Leasehold",No
2014-02-28,"3 Bury New Road, Ramsbottom",BL0 0BT,145000,Terraced,"Leasehold",No
2014-02-28,"41 Garnett Street, Ramsbottom",BL0 9JN,85000,Terraced,"Leasehold",No
2014-02-28,"43 St Andrews Close, Ramsbottom",BL0 9LA,100000,Terraced,"Freehold",No
2014-02-28,"10 William Street, Stubbins",BL0 0PW,105000,Terraced,"Leasehold",No
2014-02-28,"22 Newcombe Road, Ramsbottom",BL0 9UT,157000,Semi-detached,"Leasehold",No
2014-02-25,"41 Falstone Avenue, Ramsbottom",BL0 9LX,246500,Detached,"Freehold",No
2014-02-25,"7 Annie Street, Ramsbottom",BL0 9PP,130000,Semi-detached,"Freehold",No
2014-02-24,"27 Ashwood Avenue, Ramsbottom",BL0 0BQ,65000,Semi-detached,"Freehold",No
2014-02-21,"5 Linden Avenue, Ramsbottom",BL0 0AW,201000,Semi-detached,"Leasehold",No
2014-02-21,"216 Bolton Road West, Ramsbottom",BL0 9PE,162500,Terraced,"Leasehold",No
2014-02-21,"10 Birch Grove, Ramsbottom",BL0 9RP,165000,Detached,"Leasehold",No
2014-02-20,"210 Bolton Road West, Ramsbottom",BL0 9PE,115000,Terraced,"Leasehold",No
2014-02-14,"128 Bolton Road West, Ramsbottom",BL0 9PD,107500,Terraced,"Leasehold",No
2014-02-14,"10 Regent Street, Ramsbottom",BL0 9PF,90000,Terraced,"Freehold",No
2014-02-14,"34 Carrwood Hey, Ramsbottom",BL0 9QT,154000,Semi-detached,"Leasehold",No
2014-02-14,"49 Grants Lane, Ramsbottom",BL0 9DB,119000,Terraced,"Leasehold",No
2014-02-14,"39 Callender Street, Ramsbottom",BL0 9DX,178500,Terraced,"Leasehold",No
2014-02-14,"1 Raylees, Ramsbottom",BL0 9HW,245000,Detached,"Freehold",No
2014-02-14,"Flat 4, 191 Bolton Street, Ramsbottom",BL0 9JD,113000,Flat,"Leasehold",No
2014-02-14,"27 Sims Close, Ramsbottom",BL0 9NT,93000,Flat,"Leasehold",No
2014-02-14,"8 Herons Reach, Ramsbottom",BL0 0SZ,70995,Flat,"Leasehold",No
2014-02-11,"161 Bolton Road North, Edenfield",BL0 0NA,150000,Semi-detached,"Leasehold",No
2014-02-07,"12 Woodlands Road, Edenfield",BL0 0LP,120000,Semi-detached,"Freehold",No
2014-02-07,"31 Hawthorn Avenue, Ramsbottom",BL0 9UZ,195000,Semi-detached,"Leasehold",No
2014-02-07,"55 Garnett Street, Ramsbottom",BL0 9JN,100000,Terraced,"Leasehold",No
2014-02-07,"16 Lilburn Close, Ramsbottom",BL0 9LY,134950,Semi-detached,"Freehold",No
2014-02-06,"250 Bolton Road West, Ramsbottom",BL0 9PX,96000,Terraced,"Leasehold",No
2014-02-03,"26 Rochdale Road, Edenfield",BL0 0JX,93000,Terraced,"Freehold",No
2014-01-31,"15 Dale Street, Stubbins",BL0 0NF,115000,Terraced,"Leasehold",No
2014-01-31,"43 Ripon Hall Avenue, Ramsbottom",BL0 9RE,340000,Detached,"Freehold",No
2014-01-31,"180 Bolton Street, Ramsbottom",BL0 9JE,118000,Terraced,"Leasehold",No
2014-01-31,"152 Nuttall Lane, Ramsbottom",BL0 9LE,160000,Semi-detached,"Leasehold",No
2014-01-31,"2 Ox Hey Close, Ramsbottom",BL0 9TJ,320000,Detached,"Freehold",No
2014-01-29,"34 Harcles Drive, Ramsbottom",BL0 9UE,163500,Semi-detached,"Leasehold",No
2014-01-29,"43 Crow Lane, Ramsbottom",BL0 9BR,183000,Terraced,"Freehold",No
2014-01-27,"90 Callender Street, Ramsbottom",BL0 9DU,415000,Detached,"Freehold",No
2014-01-27,"1 Water Lane, Edenfield",BL0 0LU,184000,Detached,"Freehold",No
2014-01-24,"270 Bolton Road North, Ramsbottom",BL0 0NG,118000,Terraced,"Freehold",No
2014-01-24,"39 Grants Lane, Ramsbottom",BL0 9DB,125000,Terraced,"Leasehold",No
2014-01-24,"174 Whittingham Drive, Ramsbottom",BL0 9NY,245000,Detached,"Leasehold",No
2014-01-24,"32 Holcombe Lee, Ramsbottom",BL0 9QR,141000,Semi-detached,"Leasehold",No
2014-01-24,"11 Stanley Street, Ramsbottom",BL0 9JG,122500,Terraced,"Leasehold",No
2014-01-17,"11 Brooklands Road, Ramsbottom",BL0 9SW,250000,Detached,"Freehold",No
2014-01-15,"223 Rochdale Road, Edenfield",BL0 0RG,136500,Terraced,"Leasehold",No
2014-01-13,"9 Springwood Street, Ramsbottom",BL0 9DT,93000,Terraced,"Leasehold",No
2014-01-10,"10 Derby Street, Ramsbottom",BL0 0AQ,125000,Terraced,"Leasehold",No
2014-01-10,"22 Lime Grove, Ramsbottom",BL0 0BD,98000,Semi-detached,"Freehold",No
2014-01-10,"92 Ripon Hall Avenue, Ramsbottom",BL0 9RE,130000,Semi-detached,"Freehold",No
2014-01-09,"3 Cunliffe Avenue, Ramsbottom",BL0 9PY,94950,Semi-detached,"Freehold",No
2014-01-07,"1 Manor Street, Ramsbottom",BL0 9ER,215000,Semi-detached,"Freehold",No
2014-01-06,"12 Uppingham Drive, Ramsbottom",BL0 9DP,190000,Detached,"Leasehold",No
2013-12-23,"180 Market Street, Edenfield",BL0 0JF,160000,Terraced,"Freehold",No
2013-12-20,"26 Carrwood Hey, Ramsbottom",BL0 9QT,200000,Detached,"Leasehold",No
2013-12-20,"94 Ripon Hall Avenue, Ramsbottom",BL0 9RE,135000,Semi-detached,"Freehold",No
2013-12-20,"97 George Road, Ramsbottom",BL0 9NN,83000,Terraced,"Freehold",No
2013-12-18,"9 Croftlands, Ramsbottom",BL0 9SD,210000,Detached,"Leasehold",No
2013-12-16,"37 Hillside Road, Ramsbottom",BL0 9NJ,109000,Terraced,"Freehold",No
2013-12-16,"4 Holden Avenue, Ramsbottom",BL0 9NR,97500,Terraced,"Freehold",No
2013-12-13,"7 Spring Close, Ramsbottom",BL0 9SQ,120111,Semi-detached,"Leasehold",No
2013-12-12,"2 Strongstry Bridge, Stubbins",BL0 0NZ,248000,Semi-detached,"Leasehold",No
2013-12-09,"6 Brooklands Road, Ramsbottom",BL0 9SW,245000,Semi-detached,"Leasehold",No
2013-12-06,"10 Longsight Road, Ramsbottom",BL0 9TD,210000,Semi-detached,"Freehold",No
2013-12-06,"28 Longsight Road, Ramsbottom",BL0 9TD,379950,Semi-detached,"Freehold",No
2013-12-06,"33 Springwater Avenue, Ramsbottom",BL0 9TX,290000,Detached,"Leasehold",No
2013-12-06,"20 Holcombe Lee, Ramsbottom",BL0 9QR,81608,Semi-detached,"Leasehold",No
2013-12-05,"55 Rostron Road, Ramsbottom",BL0 9EE,80000,Terraced,"Leasehold",No
2013-12-04,"6 Ashwood Avenue, Ramsbottom",BL0 0BQ,73000,Terraced,"Freehold",No
2013-12-02,"21 Woodlands Road, Edenfield",BL0 0LP,111250,Semi-detached,"Freehold",No
2013-11-29,"101 Peel Brow, Ramsbottom",BL0 0AZ,113000,Terraced,"Leasehold",No
2013-11-29,"2 Springfield Road, Ramsbottom",BL0 9SU,199950,Semi-detached,"Leasehold",No
2013-11-29,"18 St Pauls Street, Ramsbottom",BL0 9BW,85000,Terraced,"Leasehold",No
2013-11-29,"206 Bolton Road West, Ramsbottom",BL0 9PE,100000,Terraced,"Leasehold",No
2013-11-29,"64 Nuttall Lane, Ramsbottom",BL0 9JZ,180000,Detached,"Freehold",No
2013-11-26,"25 Merlewood, Edenfield",BL0 0HE,116000,Terraced,"Leasehold",No
2013-11-25,"6 Bury New Road, Ramsbottom",BL0 0BT,90000,Terraced,"Leasehold",No
2013-11-25,"162 Bolton Road West, Ramsbottom",BL0 9PD,124999,Terraced,"Freehold",No
2013-11-22,"159 Bolton Road North, Edenfield",BL0 0NA,115000,Semi-detached,"Leasehold",No
2013-11-22,"6 Dale Street, Stubbins",BL0 0NF,105000,Terraced,"Leasehold",No
2013-11-20,"12 Moorcroft, Edenfield",BL0 0LL,210000,Terraced,"Leasehold",No
2013-11-20,"60 Burnley Road, Edenfield",BL0 0HW,157000,Terraced,"Leasehold",No
2013-11-18,"70 Albert Street, Ramsbottom",BL0 9EL,117000,Terraced,"Leasehold",No
2013-11-15,"12 Annie Street, Ramsbottom",BL0 9PP,99000,Terraced,"Freehold",No
2013-11-15,"11 Chiltern Close, Ramsbottom",BL0 9LH,180000,Detached,"Leasehold",No
2013-11-15,"31 Kendal Road West, Ramsbottom",BL0 9SY,250000,Detached,"Freehold",No
2013-11-15,"46 Longsight Road, Ramsbottom",BL0 9SZ,200000,Semi-detached,"Leasehold",No
2013-11-15,"3 Harcles Drive, Ramsbottom",BL0 9UE,165000,Semi-detached,"Leasehold",No
2013-11-15,"109 Chatterton Road, Stubbins",BL0 0PQ,130000,Terraced,"Leasehold",No
2013-11-14,"107 Peel Brow, Ramsbottom",BL0 0AZ,136000,Terraced,"Leasehold",No
2013-11-13,"20 Victoria Street, Ramsbottom",BL0 9ED,119000,Terraced,"Leasehold",No
2013-11-12,"3 Tagg Wood View, Ramsbottom",BL0 9XP,264000,Detached,"Freehold",No
2013-11-11,"9 Raylees, Ramsbottom",BL0 9HW,212000,Detached,"Freehold",No
2013-11-08,"6 Windrush Avenue, Ramsbottom",BL0 9TU,210000,Detached,"Leasehold",No
2013-11-08,"24 Helmsdale Close, Ramsbottom",BL0 9YR,168000,Detached,"Leasehold",No
2013-11-08,"156 Bolton Road West, Ramsbottom",BL0 9PD,151000,Terraced,"Leasehold",No
2013-11-08,"351 Bolton Road West, Ramsbottom",BL0 9QZ,135000,Semi-detached,"Leasehold",No
2013-11-08,"9 Wildwood Close, Ramsbottom",BL0 9SF,292000,Detached,"Leasehold",No
2013-11-08,"43 Longsight Road, Ramsbottom",BL0 9SL,292500,Semi-detached,"Leasehold",No
2013-11-08,"21 Crow Lane, Ramsbottom",BL0 9BR,135000,Terraced,"Leasehold",No
2013-11-01,"38 Eliza Street, Ramsbottom",BL0 0AT,157500,Semi-detached,"Leasehold",No
2013-11-01,"4 Bury New Road, Ramsbottom",BL0 0BT,91000,Terraced,"Leasehold",No
2013-11-01,"3 Major Street, Ramsbottom",BL0 9JH,120000,Terraced,"Leasehold",No
2013-10-31,"1 Hazelhurst Close, Ramsbottom",BL0 9FB,242000,Detached,"Leasehold",No
2013-10-30,"7 St Pauls Street, Ramsbottom",BL0 9BW,122500,Terraced,"Leasehold",No
2013-10-30,"Apartment 11, Garden Court, 53 Garden Street, Ramsbottom",BL0 9FW,59995,Flat,"Leasehold",No
2013-10-30,"Apartment 5, Garden Court, 53 Garden Street, Ramsbottom",BL0 9FW,63550,Flat,"Leasehold",No
2013-10-30,"66 Thelma Street, Ramsbottom",BL0 9JL,93500,Terraced,"Leasehold",No
2013-10-30,"31 Southfield Road, Ramsbottom",BL0 9ST,182000,Semi-detached,"Freehold",No
2013-10-25,"27 Marlborough Close, Ramsbottom",BL0 9YU,280000,Detached,"Leasehold",No
2013-10-25,"34 Whittingham Drive, Ramsbottom",BL0 9LZ,249950,Detached,"Freehold",No
2013-10-25,"121 Peel Brow, Ramsbottom",BL0 0AZ,105000,Terraced,"Leasehold",No
2013-10-25,"49 Bury Road, Edenfield",BL0 0EN,140000,Terraced,"Freehold",No
2013-10-25,"15 Butler Street, Ramsbottom",BL0 9PG,157000,Terraced,"Leasehold",No
2013-10-25,"41 Woodlands Road, Edenfield",BL0 0LP,108000,Semi-detached,"Freehold",No
2013-10-21,"16 Holt Street West, Ramsbottom",BL0 9NH,91500,Terraced,"Freehold",No
2013-10-18,"1 Roseberry Close, Ramsbottom",BL0 9FQ,136000,Terraced,"Leasehold",No
2013-10-18,"252 Bolton Road West, Ramsbottom",BL0 9PX,121000,Terraced,"Leasehold",No
2013-10-18,"43 Bury New Road, Ramsbottom",BL0 0AR,405000,Detached,"Freehold",No
2013-10-18,"Esk Bank, Esk Avenue, Edenfield",BL0 0JA,480000,Detached,"Freehold",No
2013-10-17,"2 Hazel Hall Cottages, Ramsbottom",BL0 9UR,267500,Terraced,"Freehold",No
2013-10-16,"16 Strathmore Close, Ramsbottom",BL0 9YW,208000,Semi-detached,"Leasehold",No
2013-10-14,"91 Chatterton Road, Stubbins",BL0 0PQ,90000,Terraced,"Leasehold",No
2013-10-11,"16 Stretton Road, Ramsbottom",BL0 9SX,169950,Semi-detached,"Freehold",No
2013-10-11,"8 Alfred Street, Ramsbottom",BL0 9NZ,163000,Terraced,"Freehold",No
2013-10-11,"82 Albert Street, Ramsbottom",BL0 9EL,168000,Terraced,"Leasehold",No
2013-10-10,"43 Tanners Street, Ramsbottom",BL0 9ES,85000,Terraced,"Leasehold",No
2013-10-03,"1 Foot Oth' Rake, Ramsbottom",BL0 9HE,415000,Detached,"Leasehold",No
2013-10-02,"260 Bolton Road North, Ramsbottom",BL0 0NG,89000,Terraced,"Freehold",No
2013-10-02,"27 Windermere Drive, Ramsbottom",BL0 9YB,215000,Semi-detached,"Leasehold",No
2013-10-01,"38 Square Street, Ramsbottom",BL0 9BE,80000,Terraced,"Leasehold",No
2013-09-30,"2 Carrwood Hey, Ramsbottom",BL0 9QT,177500,Semi-detached,"Leasehold",No
2013-09-27,"353 Bolton Road West, Ramsbottom",BL0 9QZ,115000,Semi-detached,"Leasehold",No
2013-09-27,"67 Whalley Road, Ramsbottom",BL0 0DP,152000,Terraced,"Leasehold",No
2013-09-27,"55 Stanley Street, Ramsbottom",BL0 9JG,69500,Terraced,"Freehold",No
2013-09-27,"73 George Road, Ramsbottom",BL0 9NN,99950,Semi-detached,"Freehold",No
2013-09-26,"184 Bolton Street, Ramsbottom",BL0 9JE,115000,Terraced,"Leasehold",No
2013-09-26,"14 Bowker Street, Ramsbottom",BL0 0QQ,132500,Terraced,"Freehold",No
2013-09-25,"24 Linley Grove, Ramsbottom",BL0 9TS,265000,Detached,"Leasehold",No
2013-09-25,"12 Dundee Lane, Ramsbottom",BL0 9HL,205756,Terraced,"Leasehold",No
2013-09-23,"8 Redisher Croft, Ramsbottom",BL0 9JS,405000,Detached,"Freehold",No
2013-09-23,"8 Hazel Street, Ramsbottom",BL0 9PT,95000,Terraced,"Leasehold",No
2013-09-20,"13 Park Road, Ramsbottom",BL0 9RZ,96000,Terraced,"Leasehold",No
2013-09-19,"451 Bolton Road West, Ramsbottom",BL0 9RN,73000,Semi-detached,"Leasehold",No
2013-09-19,"3 Windermere Drive, Ramsbottom",BL0 9YB,149950,Semi-detached,"Leasehold",No
2013-09-13,"20 Cleveland Close, Ramsbottom",BL0 9FH,223000,Detached,"Leasehold",No
2013-09-12,"1 Lilburn Close, Ramsbottom",BL0 9LY,130000,Semi-detached,"Freehold",No
2013-09-06,"Flat 2, 191 Bolton Street, Ramsbottom",BL0 9JD,95000,Flat,"Leasehold",Yes
2013-09-06,"5 Coulthurst Street, Ramsbottom",BL0 9ET,124950,Terraced,"Freehold",No
2013-09-06,"49 Fernview Drive, Ramsbottom",BL0 9XG,233000,Semi-detached,"Leasehold",No
2013-09-04,"35 Marlborough Close, Ramsbottom",BL0 9YU,217000,Detached,"Leasehold",No
2013-08-30,"6 Rochdale Road, Edenfield",BL0 0JX,86000,Terraced,"Freehold",No
2013-08-30,"2 North View, Ramsbottom",BL0 0NX,108000,Terraced,"Leasehold",No
2013-08-30,"8 Rostron Road, Ramsbottom",BL0 9EE,136000,Terraced,"Freehold",No
2013-08-30,"15 Cliff Mount, Ramsbottom",BL0 9EP,220000,Terraced,"Leasehold",No
2013-08-29,"30 Kendal Road West, Ramsbottom",BL0 9SY,185000,Detached,"Leasehold",No
2013-08-28,"256 Bolton Road North, Ramsbottom",BL0 0NG,120000,Terraced,"Freehold",No
2013-08-23,"6 Albert Street, Ramsbottom",BL0 9EL,140000,Terraced,"Leasehold",No
2013-08-23,"126 Nuttall Lane, Ramsbottom",BL0 9LE,142500,Semi-detached,"Leasehold",No
2013-08-23,"7 Tagg Wood View, Ramsbottom",BL0 9XP,275000,Detached,"Freehold",No
2013-08-23,"14 Regent Street, Ramsbottom",BL0 9PF,118500,Terraced,"Freehold",No
2013-08-20,"14 Meadow Park, Ramsbottom",BL0 0QB,287500,Detached,"Freehold",No
2013-08-20,"8 Major Street, Ramsbottom",BL0 9JH,120000,Terraced,"Leasehold",No
2013-08-16,"23 Stanford Hall Crescent, Ramsbottom",BL0 9FD,164000,Semi-detached,"Leasehold",No
2013-08-15,"10 Cheshire Court, Ramsbottom",BL0 0BL,174000,Detached,"Leasehold",No
2013-08-12,"6 Stone Close, Ramsbottom",BL0 9QQ,144000,Semi-detached,"Leasehold",No
2013-08-12,"8 Harcles Drive, Ramsbottom",BL0 9UE,157000,Semi-detached,"Leasehold",No
2013-08-06,"129 Kay Brow, Ramsbottom",BL0 9AY,120000,Flat,"Leasehold",No
2013-08-05,"39 Nuttall Lane, Ramsbottom",BL0 9JX,168750,Semi-detached,"Leasehold",No
2013-08-05,"21 Springwater Avenue, Ramsbottom",BL0 9TX,191000,Detached,"Leasehold",No
2013-08-02,"3 Gainsborough Road, Ramsbottom",BL0 9XA,124950,Semi-detached,"Freehold",No
2013-08-02,"5 Farm Cottages, Ramsbottom",BL0 0NS,215000,Detached,"Freehold",No
2013-08-02,"35 Bury Old Road, Ramsbottom",BL0 0RY,135000,Terraced,"Freehold",No
2013-08-02,"3 Bank Street, Ramsbottom",BL0 0EA,111000,Terraced,"Leasehold",No
2013-08-02,"112 Market Street, Edenfield",BL0 0JL,124950,Terraced,"Leasehold",No
2013-08-02,"20 Westgate Avenue, Ramsbottom",BL0 9SS,215000,Semi-detached,"Freehold",No
2013-07-31,"29 Stanford Hall Crescent, Ramsbottom",BL0 9FD,160000,Semi-detached,"Leasehold",No
2013-07-26,"43 Callender Street, Ramsbottom",BL0 9DX,162500,Terraced,"Leasehold",No
2013-07-26,"196 Bolton Road West, Ramsbottom",BL0 9PE,123000,Terraced,"Leasehold",No
2013-07-26,"10 Wildwood Close, Ramsbottom",BL0 9SF,167000,Detached,"Leasehold",No
2013-07-26,"9 The Drive, Edenfield",BL0 0LE,143500,Semi-detached,"Leasehold",No
2013-07-26,"11 Lodge View, Ramsbottom",BL0 0SY,240000,Terraced,"Leasehold",No
2013-07-26,"77 Bury Road, Edenfield",BL0 0EN,134000,Terraced,"Freehold",No
2013-07-26,"56 Burnley Road, Edenfield",BL0 0HW,130000,Terraced,"Freehold",No
2013-07-25,"495 Bolton Road West, Ramsbottom",BL0 9RN,360000,Detached,"Freehold",No
2013-07-19,"74 Whalley Road, Ramsbottom",BL0 0DE,169000,Terraced,"Leasehold",No
2013-07-19,"21 Bolton Road North, Edenfield",BL0 0HB,190000,Terraced,"Leasehold",No
2013-07-19,"24 Silvermere Close, Ramsbottom",BL0 9WH,215000,Detached,"Leasehold",No
2013-07-12,"6 Gainsborough Road, Ramsbottom",BL0 9XA,157000,Semi-detached,"Leasehold",No
2013-07-12,"2 Strathmore Close, Ramsbottom",BL0 9YW,152950,Detached,"Leasehold",No
2013-07-12,"96 Peel Brow, Ramsbottom",BL0 0AU,127500,Terraced,"Leasehold",No
2013-07-12,"16 Linden Avenue, Ramsbottom",BL0 0AW,186000,Detached,"Freehold",No
2013-07-10,"46 Bury New Road, Ramsbottom",BL0 0BY,210000,Semi-detached,"Leasehold",No
2013-07-08,"87 Peel Brow, Ramsbottom",BL0 0AZ,109000,Terraced,"Leasehold",No
2013-07-08,"15 Falstone Avenue, Ramsbottom",BL0 9LX,135000,Semi-detached,"Freehold",No
2013-07-05,"4 Maybury Close, Ramsbottom",BL0 9WG,195000,Detached,"Leasehold",No
2013-07-05,"15 Carrwood Hey, Ramsbottom",BL0 9QT,210000,Semi-detached,"Leasehold",No
2013-07-04,"16 Cheshire Court, Ramsbottom",BL0 0BL,160000,Detached,"Leasehold",No
2013-07-02,"17 Merlewood, Edenfield",BL0 0HE,117500,Semi-detached,"Leasehold",No
2013-06-28,"206 Dundee Lane, Ramsbottom",BL0 9HF,230000,Detached,"Leasehold",No
2013-06-28,"8 Stanley Street, Ramsbottom",BL0 9JG,108000,Terraced,"Leasehold",No
2013-06-28,"22 Garnett Street, Ramsbottom",BL0 9JW,135000,Terraced,"Leasehold",No
2013-06-28,"5 Lilburn Close, Ramsbottom",BL0 9LY,175000,Detached,"Freehold",No
2013-06-28,"10 Annie Street, Ramsbottom",BL0 9PP,108500,Terraced,"Freehold",No
2013-06-27,"173 Peel Brow, Ramsbottom",BL0 0AY,230000,Detached,"Freehold",No
2013-06-21,"85 Bury Road, Edenfield",BL0 0EN,152950,Terraced,"Freehold",No
2013-06-21,"38 Burnley Road, Edenfield",BL0 0HN,160000,Terraced,"Freehold",No
2013-06-21,"17 Carr Bank Drive, Ramsbottom",BL0 9DG,275000,Detached,"Leasehold",No
2013-06-14,"24 St Pauls Street, Ramsbottom",BL0 9BW,95000,Terraced,"Freehold",No
2013-06-14,"10 Oak Avenue, Ramsbottom",BL0 9UY,342500,Detached,"Leasehold",No
2013-06-14,"10 Hawthorn Avenue, Ramsbottom",BL0 9UZ,150000,Semi-detached,"Leasehold",No
2013-06-14,"33 Bolton Road West, Ramsbottom",BL0 9NU,190000,Terraced,"Leasehold",No
2013-06-07,"87 Victoria Street, Ramsbottom",BL0 9EB,125000,Flat,"Leasehold",No
2013-05-30,"62 Kendal Road West, Ramsbottom",BL0 9SY,168500,Semi-detached,"Leasehold",No
2013-05-30,"6 Burnside, Edenfield",BL0 0LW,250000,Detached,"Leasehold",No
2013-05-23,"10 Rook Street, Ramsbottom",BL0 9BN,116000,Terraced,"Leasehold",No
2013-05-21,"1 Springwater Avenue, Ramsbottom",BL0 9RH,295000,Detached,"Leasehold",No
2013-05-17,"23 Springwood Street, Ramsbottom",BL0 9DT,131000,Terraced,"Leasehold",No
2013-05-17,"34 Heapworth Avenue, Ramsbottom",BL0 9EH,200000,Detached,"Leasehold",No
2013-05-16,"5 Verna Street, Ramsbottom",BL0 9HZ,120000,Flat,"Leasehold",No
2013-05-13,"25 Lodge View, Ramsbottom",BL0 0SY,250000,Terraced,"Leasehold",No
2013-05-13,"34 Kendal Road West, Ramsbottom",BL0 9SY,216000,Semi-detached,"Freehold",No
2013-05-10,"481 Bolton Road West, Ramsbottom",BL0 9RN,145000,Semi-detached,"Leasehold",No
2013-05-07,"The Bungalow, Michael Wifes Lane, Ramsbottom",BL0 0RD,465000,Detached,"Freehold",No
2013-05-02,"3 Chapel Terrace, Ramsbottom",BL0 0QW,115500,Terraced,"Freehold",No
2013-04-30,"2 Croftacres, Ramsbottom",BL0 0LX,235000,Detached,"Leasehold",No
2013-04-30,"3 New Century Apartments, 55 Stubbins Lane, Ramsbottom",BL0 0PP,116500,Flat,"Leasehold",No
2013-04-26,"236 Whalley Road, Ramsbottom",BL0 0EF,220000,Detached,"Freehold",No
2013-04-26,"2 Annie Street, Ramsbottom",BL0 9PP,128000,Terraced,"Freehold",No
2013-04-26,"19 Lancaster Avenue, Ramsbottom",BL0 9QA,140000,Semi-detached,"Freehold",No
2013-04-24,"13 Maple Grove, Ramsbottom",BL0 0AN,150000,Semi-detached,"Leasehold",No
2013-04-22,"75 Market Street, Edenfield",BL0 0JQ,100000,Terraced,"Freehold",No
2013-04-19,"21 Marlborough Close, Ramsbottom",BL0 9YU,199500,Detached,"Leasehold",No
2013-04-19,"3 Birch Grove, Ramsbottom",BL0 9RP,180000,Detached,"Leasehold",No
2013-04-18,"11 Aitken Street, Ramsbottom",BL0 0QG,235000,Terraced,"Leasehold",No
2013-04-16,"1 Holcombe Lee, Ramsbottom",BL0 9QR,185000,Semi-detached,"Leasehold",No
2013-04-12,"12 Alfred Street, Ramsbottom",BL0 9NZ,96000,Terraced,"Leasehold",No
2013-04-11,"15 Cemetery Road, Ramsbottom",BL0 9PU,115000,Terraced,"Leasehold",No
2013-04-08,"11 Market Place, Edenfield",BL0 0JS,88000,Terraced,"Freehold",No
2013-04-02,"Flat 1, 191 Bolton Street, Ramsbottom",BL0 9JD,124995,Flat,"Leasehold",No
2013-03-28,"Flat 3, 191 Bolton Street, Ramsbottom",BL0 9JD,124500,Flat,"Leasehold",No
2013-03-28,"32 Heatherside Road, Ramsbottom",BL0 9BX,187500,Semi-detached,"Leasehold",No
2013-03-28,"9 Fir Street, Ramsbottom",BL0 0BJ,100000,Terraced,"Leasehold",No
2013-03-27,"236 Bolton Road West, Ramsbottom",BL0 9PX,94950,Terraced,"Leasehold",No
2013-03-27,"54 Woodhey Road, Ramsbottom",BL0 9RB,355000,Detached,"Freehold",No
